,Country,Code,Date,Vax_Rate,Index,Region,Income_group
0,Afghanistan,AFG,2/22/2021,0,1,South Asia,Low income
1,Afghanistan,AFG,2/28/2021,0.02,1,South Asia,Low income
2,Afghanistan,AFG,3/16/2021,0.14,1,South Asia,Low income
3,Afghanistan,AFG,4/7/2021,0.3,1,South Asia,Low income
4,Afghanistan,AFG,4/22/2021,0.6,1,South Asia,Low income
5,Afghanistan,AFG,5/11/2021,1.27,1,South Asia,Low income
6,Afghanistan,AFG,5/20/2021,1.38,1,South Asia,Low income
7,Afghanistan,AFG,5/24/2021,1.44,1,South Asia,Low income
8,Afghanistan,AFG,5/26/2021,1.48,1,South Asia,Low income
9,Afghanistan,AFG,5/27/2021,1.49,1,South Asia,Low income
10,Afghanistan,AFG,5/30/2021,1.51,1,South Asia,Low income
11,Afghanistan,AFG,6/2/2021,1.57,1,South Asia,Low income
12,Afghanistan,AFG,6/3/2021,1.58,1,South Asia,Low income
13,Afghanistan,AFG,6/8/2021,1.61,1,South Asia,Low income
14,Afghanistan,AFG,6/14/2021,1.66,1,South Asia,Low income
15,Afghanistan,AFG,6/22/2021,1.92,1,South Asia,Low income
16,Afghanistan,AFG,6/27/2021,2.1,1,South Asia,Low income
17,Afghanistan,AFG,6/30/2021,2.23,1,South Asia,Low income
18,Afghanistan,AFG,7/5/2021,2.3,1,South Asia,Low income
19,Afghanistan,AFG,7/7/2021,2.35,1,South Asia,Low income
20,Afghanistan,AFG,7/11/2021,2.42,1,South Asia,Low income
21,Afghanistan,AFG,7/14/2021,2.57,1,South Asia,Low income
22,Afghanistan,AFG,7/18/2021,2.75,1,South Asia,Low income
23,Afghanistan,AFG,7/24/2021,2.94,1,South Asia,Low income
24,Afghanistan,AFG,8/20/2021,3.02,1,South Asia,Low income
25,Afghanistan,AFG,8/31/2021,4.97,1,South Asia,Low income
26,Afghanistan,AFG,9/30/2021,5.95,1,South Asia,Low income
27,Afghanistan,AFG,11/14/2021,10.09,1,South Asia,Low income
28,Afghanistan,AFG,12/27/2021,11.73,1,South Asia,Low income
29,Afghanistan,AFG,1/9/2022,12.31,1,South Asia,Low income
30,Afghanistan,AFG,1/11/2022,12.36,1,South Asia,Low income
31,Afghanistan,AFG,1/13/2022,12.44,1,South Asia,Low income
32,Afghanistan,AFG,1/17/2022,12.51,1,South Asia,Low income
33,Afghanistan,AFG,1/19/2022,12.56,1,South Asia,Low income
34,Afghanistan,AFG,1/24/2022,12.67,1,South Asia,Low income
35,Afghanistan,AFG,1/26/2022,12.74,1,South Asia,Low income
36,Afghanistan,AFG,1/27/2022,12.76,1,South Asia,Low income
37,Afghanistan,AFG,1/31/2022,12.87,1,South Asia,Low income
38,Afghanistan,AFG,2/2/2022,12.93,1,South Asia,Low income
39,Afghanistan,AFG,2/7/2022,13.1,1,South Asia,Low income
40,Afghanistan,AFG,2/14/2022,13.36,1,South Asia,Low income
41,Afghanistan,AFG,2/20/2022,13.59,1,South Asia,Low income
42,Afghanistan,AFG,2/27/2022,13.9,1,South Asia,Low income
43,Afghanistan,AFG,3/6/2022,14.05,1,South Asia,Low income
44,Afghanistan,AFG,3/17/2022,14.39,1,South Asia,Low income
45,Afghanistan,AFG,3/22/2022,14.44,1,South Asia,Low income
46,Afghanistan,AFG,4/4/2022,14.74,1,South Asia,Low income
47,Albania,ALB,1/10/2021,0,3,Europe & Central Asia,Upper middle income
48,Albania,ALB,1/12/2021,0,3,Europe & Central Asia,Upper middle income
49,Albania,ALB,1/13/2021,0.01,3,Europe & Central Asia,Upper middle income
50,Albania,ALB,1/14/2021,0.01,3,Europe & Central Asia,Upper middle income
51,Albania,ALB,1/15/2021,0.01,3,Europe & Central Asia,Upper middle income
52,Albania,ALB,1/16/2021,0.01,3,Europe & Central Asia,Upper middle income
53,Albania,ALB,1/17/2021,0.01,3,Europe & Central Asia,Upper middle income
54,Albania,ALB,1/18/2021,0.02,3,Europe & Central Asia,Upper middle income
55,Albania,ALB,1/19/2021,0.02,3,Europe & Central Asia,Upper middle income
56,Albania,ALB,1/20/2021,0.02,3,Europe & Central Asia,Upper middle income
57,Albania,ALB,1/21/2021,0.02,3,Europe & Central Asia,Upper middle income
58,Albania,ALB,2/2/2021,0.02,3,Europe & Central Asia,Upper middle income
59,Albania,ALB,2/9/2021,0.04,3,Europe & Central Asia,Upper middle income
60,Albania,ALB,2/17/2021,0.06,3,Europe & Central Asia,Upper middle income
61,Albania,ALB,2/18/2021,0.11,3,Europe & Central Asia,Upper middle income
62,Albania,ALB,2/19/2021,0.15,3,Europe & Central Asia,Upper middle income
63,Albania,ALB,2/22/2021,0.23,3,Europe & Central Asia,Upper middle income
64,Albania,ALB,2/25/2021,0.35,3,Europe & Central Asia,Upper middle income
65,Albania,ALB,3/1/2021,0.5,3,Europe & Central Asia,Upper middle income
