;Country;Code;Date;Vax_Rate;Index;Region;Income_group
25614;Monaco;MCO;2020-12;0.0;121;Europe & Central Asia;High income
33042;Seychelles;SYC;2021-01;31.2;185;Sub-Saharan Africa;High income
300;Algeria;DZA;2021-01;0.0;55;Middle East & North Africa;Lower middle income
16764;Indonesia;IDN;2021-01;0.19;87;East Asia & Pacific;Lower middle income
24908;Mauritius;MUS;2021-01;0.0;136;Sub-Saharan Africa;Upper middle income
16763;Indonesia;IDN;2021-01;0.18;87;East Asia & Pacific;Lower middle income
25615;Monaco;MCO;2021-01;6.07;121;Europe & Central Asia;High income
38472;Turks and Caicos Islands;TCA;2021-01;0.0;187;Latin America & Caribbean;High income
4165;Bosnia and Herzegovina;BIH;2021-02;0.0;21;Europe & Central Asia;Upper middle income
38469;Turkmenistan;TKM;2021-02;0.85;192;Europe & Central Asia;Upper middle income
24910;Mauritius;MUS;2021-02;0.3;136;Sub-Saharan Africa;Upper middle income
6390;Cayman Islands;CYM;2021-03;74.53;47;Latin America & Caribbean;High income
32370;Saudi Arabia;SAU;2021-03;12.54;167;Middle East & North Africa;High income
25617;Monaco;MCO;2021-03;45.75;121;Europe & Central Asia;High income
38656;Ukraine;UKR;2021-03;0.57;202;Europe & Central Asia;Lower middle income
32369;Saudi Arabia;SAU;2021-03;12.24;167;Middle East & North Africa;High income
31778;Saint Kitts and Nevis;KNA;2021-03;16.01;104;Latin America & Caribbean;High income
31777;Saint Kitts and Nevis;KNA;2021-03;14.16;104;Latin America & Caribbean;High income
12252;Faeroe Islands;FRO;2021-03;21.96;65;Europe & Central Asia;High income
12251;Faeroe Islands;FRO;2021-03;20.3;65;Europe & Central Asia;High income
14639;Greenland;GRL;2021-03;9.02;78;Europe & Central Asia;High income
23363;Malawi;MWI;2021-03;0.68;137;Sub-Saharan Africa;Low income
21534;Lesotho;LSO;2021-03;0.0;114;Sub-Saharan Africa;Lower middle income
38655;Ukraine;UKR;2021-03;0.53;202;Europe & Central Asia;Lower middle income
9060;Cyprus;CYP;2021-03;11.08;48;Europe & Central Asia;High income
9061;Cyprus;CYP;2021-03;14.45;48;Europe & Central Asia;High income
15556;Honduras;HND;2021-03;0.43;83;Latin America & Caribbean;Lower middle income
25616;Monaco;MCO;2021-03;39.5;121;Europe & Central Asia;High income
28872;Papua New Guinea;PNG;2021-04;0.02;155;East Asia & Pacific;Lower middle income
28871;Papua New Guinea;PNG;2021-04;0.01;155;East Asia & Pacific;Lower middle income
19503;Jordan;JOR;2021-04;7.13;97;Middle East & North Africa;Upper middle income
13031;French Polynesia;PYF;2021-04;22.01;162;East Asia & Pacific;High income
35388;Sri Lanka;LKA;2021-04;4.44;113;South Asia;Lower middle income
12454;Finland;FIN;2021-04;30.95;62;Europe & Central Asia;High income
13083;Gabon;GAB;2021-04;0.39;67;Sub-Saharan Africa;Upper middle income
13084;Gabon;GAB;2021-04;0.47;67;Sub-Saharan Africa;Upper middle income
12264;Faeroe Islands;FRO;2021-04;41.26;65;Europe & Central Asia;High income
12392;Fiji;FJI;2021-04;6.2;63;East Asia & Pacific;Upper middle income
11361;Equatorial Guinea;GNQ;2021-04;3.85;75;Sub-Saharan Africa;Upper middle income
11362;Equatorial Guinea;GNQ;2021-04;5.21;75;Sub-Saharan Africa;Upper middle income
20001;Kenya;KEN;2021-04;1.55;100;Sub-Saharan Africa;Lower middle income
20000;Kenya;KEN;2021-04;1.36;100;Sub-Saharan Africa;Lower middle income
30285;Portugal;PRT;2021-04;32.98;159;Europe & Central Asia;High income
30284;Portugal;PRT;2021-04;32.18;159;Europe & Central Asia;High income
5796;Cameroon;CMR;2021-04;0.04;38;Sub-Saharan Africa;Lower middle income
5795;Cameroon;CMR;2021-04;0.0;38;Sub-Saharan Africa;Lower middle income
26772;Nauru;NRU;2021-04;1.55;147;East Asia & Pacific;High income
11905;Eswatini;SWZ;2021-04;2.98;183;Sub-Saharan Africa;Lower middle income
34193;Solomon Islands;SLB;2021-04;0.49;171;East Asia & Pacific;Lower middle income
19703;Kazakhstan;KAZ;2021-04;8.21;99;Europe & Central Asia;Upper middle income
