Country,Code,Date,Vax_Rate,Index,Region,Income_group
Monaco,MCO,2020-12,0,121,Europe & Central Asia,High income
Indonesia,IDN,2021-01,0.18,87,East Asia & Pacific,Lower middle income
Mauritius,MUS,2021-01,0,136,Sub-Saharan Africa,Upper middle income
Turks and Caicos Islands,TCA,2021-01,0,187,Latin America & Caribbean,High income
Seychelles,SYC,2021-01,31.2,185,Sub-Saharan Africa,High income
Algeria,DZA,2021-01,0,55,Middle East & North Africa,Lower middle income
Monaco,MCO,2021-01,6.07,121,Europe & Central Asia,High income
Turkmenistan,TKM,2021-02,0.85,192,Europe & Central Asia,Upper middle income
Indonesia,IDN,2021-02,0.18,87,East Asia & Pacific,Lower middle income
Bosnia and Herzegovina,BIH,2021-02,0,21,Europe & Central Asia,Upper middle income
Turks and Caicos Islands,TCA,2021-02,0,187,Latin America & Caribbean,High income
Algeria,DZA,2021-02,0,55,Middle East & North Africa,Lower middle income
Seychelles,SYC,2021-02,31.2,185,Sub-Saharan Africa,High income
Monaco,MCO,2021-02,6.07,121,Europe & Central Asia,High income
Mauritius,MUS,2021-02,0.3,136,Sub-Saharan Africa,Upper middle income
Honduras,HND,2021-03,0.43,83,Latin America & Caribbean,Lower middle income
Cyprus,CYP,2021-03,14.45,48,Europe & Central Asia,High income
Mauritius,MUS,2021-03,0.3,136,Sub-Saharan Africa,Upper middle income
Turkmenistan,TKM,2021-03,0.85,192,Europe & Central Asia,Upper middle income
Greenland,GRL,2021-03,9.02,78,Europe & Central Asia,High income
Saudi Arabia,SAU,2021-03,12.24,167,Middle East & North Africa,High income
Faeroe Islands,FRO,2021-03,20.3,65,Europe & Central Asia,High income
Bosnia and Herzegovina,BIH,2021-03,0,21,Europe & Central Asia,Upper middle income
Saint Kitts and Nevis,KNA,2021-03,14.16,104,Latin America & Caribbean,High income
Ukraine,UKR,2021-03,0.53,202,Europe & Central Asia,Lower middle income
Malawi,MWI,2021-03,0.68,137,Sub-Saharan Africa,Low income
Cayman Islands,CYM,2021-03,74.53,47,Latin America & Caribbean,High income
Lesotho,LSO,2021-03,0,114,Sub-Saharan Africa,Lower middle income
Monaco,MCO,2021-03,39.5,121,Europe & Central Asia,High income
Gambia,GMB,2021-04,0.84,73,Sub-Saharan Africa,Low income
Saint Kitts and Nevis,KNA,2021-04,22.13,104,Latin America & Caribbean,High income
Suriname,SUR,2021-04,6.48,179,Latin America & Caribbean,Upper middle income
Costa Rica,CRI,2021-04,15.93,44,Latin America & Caribbean,Upper middle income
Djibouti,DJI,2021-04,1.3,51,Middle East & North Africa,Lower middle income
Maldives,MDV,2021-04,73.19,124,South Asia,Upper middle income
Mali,MLI,2021-04,0.24,128,Sub-Saharan Africa,Low income
Nauru,NRU,2021-04,6.44,147,East Asia & Pacific,High income
Faeroe Islands,FRO,2021-04,39.27,65,Europe & Central Asia,High income
Congo,COG,2021-04,0.25,40,Sub-Saharan Africa,Lower middle income
North Macedonia,MKD,2021-04,2.96,127,Europe & Central Asia,Upper middle income
Niger,NER,2021-04,0.01,141,Sub-Saharan Africa,Low income
Brunei,BRN,2021-04,3.37,28,East Asia & Pacific,High income
Eswatini,SWZ,2021-04,2.86,183,Sub-Saharan Africa,Lower middle income
Solomon Islands,SLB,2021-04,0.49,171,East Asia & Pacific,Lower middle income
Cameroon,CMR,2021-04,0,38,Sub-Saharan Africa,Lower middle income
Sri Lanka,LKA,2021-04,4.44,113,South Asia,Lower middle income
Portugal,PRT,2021-04,32.18,159,Europe & Central Asia,High income
