Entity,Code,Day,total_vaccinations_per_hundred
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,0.02
Afghanistan,AFG,2021-03-16,0.14
Afghanistan,AFG,2021-04-07,0.3
Afghanistan,AFG,2021-04-22,0.6
Afghanistan,AFG,2021-05-11,1.27
Afghanistan,AFG,2021-05-20,1.38
Afghanistan,AFG,2021-05-24,1.44
Afghanistan,AFG,2021-05-26,1.48
Afghanistan,AFG,2021-05-27,1.49
Afghanistan,AFG,2021-05-30,1.51
Afghanistan,AFG,2021-06-02,1.57
Afghanistan,AFG,2021-06-03,1.58
Afghanistan,AFG,2021-06-08,1.61
Afghanistan,AFG,2021-06-14,1.66
Afghanistan,AFG,2021-06-22,1.92
Afghanistan,AFG,2021-06-27,2.1
Afghanistan,AFG,2021-06-30,2.23
Afghanistan,AFG,2021-07-05,2.3
Afghanistan,AFG,2021-07-07,2.35
Afghanistan,AFG,2021-07-11,2.42
Afghanistan,AFG,2021-07-14,2.57
Afghanistan,AFG,2021-07-18,2.75
Afghanistan,AFG,2021-07-24,2.94
Afghanistan,AFG,2021-08-20,3.02
Afghanistan,AFG,2021-08-31,4.97
Afghanistan,AFG,2021-09-30,5.95
Afghanistan,AFG,2021-11-14,10.09
Afghanistan,AFG,2021-12-27,11.73
Afghanistan,AFG,2022-01-09,12.31
Afghanistan,AFG,2022-01-11,12.36
Afghanistan,AFG,2022-01-13,12.44
Afghanistan,AFG,2022-01-17,12.51
Afghanistan,AFG,2022-01-19,12.56
Afghanistan,AFG,2022-01-24,12.67
Afghanistan,AFG,2022-01-26,12.74
Afghanistan,AFG,2022-01-27,12.76
Afghanistan,AFG,2022-01-31,12.87
Afghanistan,AFG,2022-02-02,12.93
Afghanistan,AFG,2022-02-07,13.1
Afghanistan,AFG,2022-02-14,13.36
Afghanistan,AFG,2022-02-20,13.59
Afghanistan,AFG,2022-02-27,13.9
Afghanistan,AFG,2022-03-06,14.05
Afghanistan,AFG,2022-03-17,14.39
Afghanistan,AFG,2022-03-22,14.44
Afghanistan,AFG,2022-04-04,14.74
Africa,,2021-01-09,0
Africa,,2021-01-10,0
Africa,,2021-01-11,0
Africa,,2021-01-12,0
Africa,,2021-01-13,0
Africa,,2021-01-14,0
Africa,,2021-01-15,0
Africa,,2021-01-16,0
Africa,,2021-01-17,0
Africa,,2021-01-18,0
Africa,,2021-01-19,0
Africa,,2021-01-20,0
Africa,,2021-01-21,0
Africa,,2021-01-22,0
Africa,,2021-01-23,0
Africa,,2021-01-24,0
Africa,,2021-01-25,0
Africa,,2021-01-26,0
Africa,,2021-01-27,0
Africa,,2021-01-28,0
Africa,,2021-01-29,0
Africa,,2021-01-30,0.01
Africa,,2021-01-31,0.01
Africa,,2021-02-01,0.02
Africa,,2021-02-02,0.02
Africa,,2021-02-03,0.03
Africa,,2021-02-04,0.03
Africa,,2021-02-05,0.03
Africa,,2021-02-06,0.04
Africa,,2021-02-07,0.04
Africa,,2021-02-08,0.04
Africa,,2021-02-09,0.05
Africa,,2021-02-10,0.06
Africa,,2021-02-11,0.07
Africa,,2021-02-12,0.08
Africa,,2021-02-13,0.11
Africa,,2021-02-14,0.11
Africa,,2021-02-15,0.13
Africa,,2021-02-16,0.14
Africa,,2021-02-17,0.16
Africa,,2021-02-18,0.17
Africa,,2021-02-19,0.18
Africa,,2021-02-20,0.19
Africa,,2021-02-21,0.19
Africa,,2021-02-22,0.2
Africa,,2021-02-23,0.21
Africa,,2021-02-24,0.23
Africa,,2021-02-25,0.25
Africa,,2021-02-26,0.27
Africa,,2021-02-27,0.28
Africa,,2021-02-28,0.28
Africa,,2021-03-01,0.3
Africa,,2021-03-02,0.31
Africa,,2021-03-03,0.32
Africa,,2021-03-04,0.33
Africa,,2021-03-05,0.35
Africa,,2021-03-06,0.37
Africa,,2021-03-07,0.37
Africa,,2021-03-08,0.39
Africa,,2021-03-09,0.4
Africa,,2021-03-10,0.43
Africa,,2021-03-11,0.44
Africa,,2021-03-12,0.46
Africa,,2021-03-13,0.49
Africa,,2021-03-14,0.5
Africa,,2021-03-15,0.52
Africa,,2021-03-16,0.54
Africa,,2021-03-17,0.56
Africa,,2021-03-18,0.57
Africa,,2021-03-19,0.59
Africa,,2021-03-20,0.6
Africa,,2021-03-21,0.6
Africa,,2021-03-22,0.61
Africa,,2021-03-23,0.62
Africa,,2021-03-24,0.69
Africa,,2021-03-25,0.71
Africa,,2021-03-26,0.73
Africa,,2021-03-27,0.75
Africa,,2021-03-28,0.77
Africa,,2021-03-29,0.78
Africa,,2021-03-30,0.8
Africa,,2021-03-31,0.84
Africa,,2021-04-01,0.85
Africa,,2021-04-02,0.87
Africa,,2021-04-03,0.88
Africa,,2021-04-04,0.88
Africa,,2021-04-05,0.89
Africa,,2021-04-06,0.92
Africa,,2021-04-07,0.94
Africa,,2021-04-08,1
Africa,,2021-04-09,1.01
Africa,,2021-04-10,1.02
Africa,,2021-04-11,1.03
Africa,,2021-04-12,1.04
Africa,,2021-04-13,1.05
Africa,,2021-04-14,1.07
Africa,,2021-04-15,1.08
Africa,,2021-04-16,1.1
Africa,,2021-04-17,1.12
Africa,,2021-04-18,1.16
Africa,,2021-04-19,1.18
Africa,,2021-04-20,1.19
Africa,,2021-04-21,1.2
Africa,,2021-04-22,1.21
Africa,,2021-04-23,1.22
Africa,,2021-04-24,1.23
Africa,,2021-04-25,1.24
Africa,,2021-04-26,1.24
Africa,,2021-04-27,1.25
Africa,,2021-04-28,1.33
Africa,,2021-04-29,1.34
Africa,,2021-04-30,1.35
Africa,,2021-05-01,1.36
Africa,,2021-05-02,1.36
Africa,,2021-05-03,1.38
Africa,,2021-05-04,1.4
Africa,,2021-05-05,1.42
Africa,,2021-05-06,1.43
Africa,,2021-05-07,1.47
Africa,,2021-05-08,1.49
Africa,,2021-05-09,1.54
Africa,,2021-05-10,1.58
